docid,num,wdcount,sentence
AP900510-0029,10,37,"The administration had planned to send another career diplomat, Melissa Wells, to Managua but had a change of heart after concluding she might face a prolonged Senate confirmation fight because she has been a target of conservatives."
LA020289-0065,10,29,"The choice is James R. Lilley, a career intelligence officer who served as CIA station chief in China when Bush headed the U.S. liaison office there in 1974-75 ."
LA020389-0041,9,33,"President Bush has decided to nominate John D. Negroponte, a veteran diplomat who helped direct U.S. aid to Nicaraguan rebels, to the key position of ambassador to Mexico, Administration officials said Thursday ."
LA072689-0050,21,57,"It also approved the nominations of Thomas Melady to be ambassador to the Vatican, William Howard Taft IV to be the permanent U.S. representative on the Council of the North Atlantic Treaty Organization, Keith L. Brown to be ambassador to Denmark, and Joseph Gildenhorn, a Washington lawyer and real estate developer, to be ambassador to Switzerland ."
WSJ880912-0064,18,15,Tropical Storm Gilbert formed in the eastern Caribbean and strengthened into a hurricane Saturday night.
AP880916-0060,22,23,"Why Gilbert organized and strengthened while other systems didn't ``is a mystery more or less,'' said University of Miami meteorology Professor Rainer Bleck."
AP880912-0137,22,13,"Gilbert reached Jamaica after skirting southern Puerto Rico, Haiti and the Dominican Republic."
AP880912-0137,23,27,"Hurricane warnings were issued Monday for the south coast of Cuba east of Camaguey, the Cayman Islands, and Haiti, while warnings were discontinued for the Dominican Republic."
AP880912-0137,34,30,"Sheets said Gilbert was expected next to sweep over the Cayman Islands, on its westward track, and in two to three days veer northwest into the southern Gulf of Mexico."
AP880915-0003,45,17,"Earlier Wednesday Gilbert was classified as a Category 5 storm, the strongest ad deadliest type of hurricane."
AP880915-0003,46,15,Such storms have maximum sustained winds greater than 155 mph and can cause catastrophic damage.
AP880915-0003,13,33,"Hurricane Gilbert, one of the strongest storms ever, slammed into the Yucatan Peninsula Wednesday and leveled thatched homes, tore off roofs, uprooted trees and cut off the Caribbean resorts of Cancun and Cozumel."
AP880915-0003,44,21,The Mexican National Weather Service reported winds gusting as high as 218 mph earlier Wednesday with sustained winds of 179 mph.
AP880915-0003,23,16,"More than 120,000 people on the northeast Yucatan coast were evacuated, the Yucatan state government said."
AP880915-0003,28,13,"Shelters had little or no food, water or blankets and power was out."
AP880915-0003,24,22,The eye of the storm passed over Cozumel and Cancun with howling winds clocked at 160 mph at about 8 a.m. EDT.
AP880915-0003,17,18,The storm killed 19 people in Jamaica and five in the Dominican Republic before moving west to Mexico.
AP880915-0003,18,24,"Prime Minister Edward Seaga of Jamaica said Wednesday the storm destroyed an estimated 100,000 of Jamaica's 500,000 homes when it throttled the island Monday."
AP880915-0003,19,15,"The Jamaican Embassy reported earlier that 500,000 of the nation's 2.3 million people were homeless."
AP880915-0003,56,30,The National Hurricane Center said a hurricane watch was in effect on the Texas coast from Brownsville to Port Arthur and along the coast of northeast Mexico from Tampico north.
AP880915-0003,51,33,"Only two Category 5 hurricanes have hit the United States _ the 1935 storm that killed 408 people in Florida and Hurricane Camille that devastated the Mississippi coast in 1969, killing 256 people."
AP880915-0003,62,18,The National Hurricane Center said Gilbert was the most intense storm on record in terms of barometric pressure.
AP890427-0052,12,25,"Miss Ball, born 60 miles south of Buffalo in Jamestown on Aug. 6, 1911, grew up in nearby Celoron, a rural hamlet on Chautauqua Lake."
LA042789-0025,84,23,"Playing the ingenue lead in the 1940 musical ""Too Many Girls,"" Miss Ball met rumba singer Arnaz, cast as a Cuban football player."
LA042789-0025,85,17,"She later told an interviewer, ""It was, at least for me, true love from the start"" ."
LA042789-0025,86,17,"Exchanging vows seven months later, the pair began what was for the most part a troubled marriage."
AP890426-0123,12,20,"1951 _ They form Desilu Productions with $5,000 and ``I Love Lucy'' begins its historic six-year domination of television comedy."
AP890426-0185,44,42,"As testament to their value as prime-time stars, Miss Ball and Arnaz signed an $8 million, no-cancellation, two-year contract with CBS in 1953 _ the largest in television history at the time and a figure scarcely any TV star can touch today."
LA042789-0025,110,35,"Instead, in the years since the original 153 ""I Love Lucy"" episodes were telecast, they have been shown and reshown in virtually every country around the globe, earning an estimated $50 million to $100 million."
LA042789-0025,123,34,"""I never wanted to be an executive, but when my marriage to Desi broke up after 19 years, I couldn't just walk away from my obligations and say 'forget it,' "" Miss Ball explained."
AP890426-0126,12,19,"Miss Ball died of a ruptured aorta at Cedars-Sinai Medical Center in Los Angeles Wednesday morning, hospital officials said."
AP890426-0126,13,3,She was 77.
AP890427-0098,11,34,"An outpouring of sympathy from presidents to childhood neighbors followed the death of Lucille Ball, but many said the queen mother of comedy will live on through television reruns and her influence on comedy."
AP890426-0185,26,19,"But she also embodied an even greater treasure _ the gift of love,'' President Bush said in a statement."
AP890427-0098,14,16,"A private burial was planned, reportedly with no funeral services in accordance with Miss Ball's wishes."
AP890427-0098,15,19,"``God has her now, and, thanks to television, we'll have her forever,'' said comedian and longtime friend Bob Hope."
LA042689-0146,20,29,"""Her red hair, her antics on the screen, her timing and her zest for life made her an American institution,"" former President and Nancy Reagan said in a statement."
LA042789-0025,22,34,"Her greatest achievements, she always would add, were not any milestones in her career but ranked somewhere under the birth of her two children, Lucie in 1951 and Desi Jr., two years later ."
AP880314-0110,7,3,"BELGRADE, Yugoslavia (AP)"
AP880314-0110,8,29,"The communist world gets its first McDonald's next week, and some people here are wondering whether its American hamburgers will be as popular as the local fast-food treat, Pljeskavica."
AP880324-0193,14,23,"Police kept watch on the lines of customers snaking around the block, and they regulated the number who came inside to avoid overcrowding."
AP880324-0193,16,21,"``I think this restaurant has no competition in Belgrade,'' said Milica Danic, a housewife who treated her son to a cheeseburger."
AP880314-0110,15,25,"The next East European McDonald's is scheduled to be opened in Budapest, Hungary, by the end of this year, said Vesna Milosevic, another Genex official."
AP900131-0200,11,2,MOSCOW (AP)
AP900131-0200,13,27,"The world's largest version of the landmark American fast-food chain rang up 30,000 meals on 27 cash registers, breaking the opening-day record for McDonald's worldwide, officials said."
AP900131-0200,22,30,"The restaurant, built by the company in a joint venture with the city of Moscow that began 14 years ago, brought to 52 the number of countries where McDonald's operates."
AP900131-0200,40,38,"McDonald's built its own factory, including bakery, dairy, meat-processing plant and even potato storage yard, to provide its own guaranteed supplies in a country where up to 25 percent of the harvest rots en route to the consumer."
AP901008-0136,9,3,"SHENZHEN, China (AP)"
AP901008-0136,10,27,"McDonald's hamburgers, fries and golden arches came to China on Monday when the fast-food chain opened its first restaurant in a nation famed for its distinctive cuisine."
AP901008-0136,23,9,McDonald's hopes to open a restaurant in Beijing later.
FT932-5869,6,1,MOSCOW
FT932-5869,8,33,"Opening the second McDonald's restaurant in Moscow, along with a 12-storey office block, Mr George Cohon, head of McDonald's Canada, could well be described as the Russian authorities' idea of a model investor."
FT932-5869,13,46,"Although the first Moscow restaurant is the busiest McDonald's in the world the plunging rouble, high inflation and constantly changing tax rules have been a challenge to McDonald's management, who admitted that they have no idea of when it could recoup its initial Dollars 50m investment."
WSJ880412-0015,6,1,SEOUL
WSJ880412-0015,9,24,"Seven years after the U.S. hamburger giant first tried to bring its Big Macs to South Korea, the golden arches were finally going up."
WSJ880412-0015,11,19,"The company is a 50-50 joint venture of McDonald's Corp., Oak Brook, Ill., and an accountant-turned-entrepreneur, Ahn Hyo Young."
WSJ880412-0015,14,14,"South Korea may be one of McDonald's most promising foreign markets, business analysts say."
LA112090-0165,9,54,"A crucial first vote of Tory Members of Parliament (MPs) is scheduled for today, and if Heseltine should wrest control of the party from Thatcher -- the longest-serving British head of government in modern times -- she would also have to give up the prime minister's job that she has held since 1979 ."
AP891106-0072,9,33,"Prime Minister Margaret Thatcher has weakened her position and kicked off the race to succeed her by saying she plans to step down after winning another term, opposition leaders and political observers said."
AP891106-0072,20,41,"Mrs. Thatcher's popularity is the lowest of any prime minister since opinion polls began in Britain 50 years ago, and senior colleagues have publicly admonished her to change her leadership style following the surprise resignation of her treasury chief, Nigel Lawson."
AP901122-0100,13,18,Prime Minister Margaret Thatcher's international admirers praised her courage and achievements Thursday after she announced she would resign.
AP901123-0002,11,29,"For almost a decade, Margaret Thatcher was regarded at the White House as America's best friend, the trusted ally whose strong views reinforced the conservative tone of administration policies."
AP901123-0062,12,31,"Former President Reagan thanked British Prime Minister Margaret Thatcher for backing him up when other allies backed down, heaping praise on his political soulmate as she heads off into the sunset."
AP901123-0002,12,19,"Among Western allies, she was alone at Ronald Reagan's side in 1986 in supporting the U.S. bombing of Libya."
AP901123-0002,29,32,Together they advocated a hard line toward Moscow and championed military readiness - even though she was the first to recognize Mikhail S. Gorbachev as a leader she could do business with.
LA112390-0008,44,23,"George Bush and Margaret Thatcher had something more simple in common, a pragmatic relationship of mutual respect and support that benefited both ."
AP901123-0002,13,18,"In the Persian Gulf crisis, she boldly joined with George Bush in sending troops to the Middle East."
AP891106-0072,19,26,"Earlier this year, Mrs. Thatcher overtook Liberal Lord Asquith's 1908-1916 tenure as prime minister to become Britain's longest continuously serving prime minister of the 20th century."
AP901126-0053,10,26,"Margaret Thatcher set the example of what a woman could achieve in British society, but her critics say she did little else to help women along."
AP901126-0053,19,23,"Mrs. Thatcher, who stepped down on Thursday, urged women to get involved in politics, but did little to pull them up the ladder."
FT931-3664,4,23,FT 15 MAR 93 / Bombay stays calm in the face of horror: The city seems determined to put Friday's outrage behind it
FT931-3764,6,31,"THE INDIAN government flew federal paramilitary troops into Bombay last night after more than a dozen bombs exploded in the city, killing about 200 people and injuring more than a thousand."
FT931-2858,6,24,"The 29-storey Jijobhoy Towers, home of the Bombay Stock Exchange, was rocked by two powerful bombs last Friday, leaving 60 dead and 200 injured."
FT931-2858,7,12,The market reopened on Monday in an attempt to return to normal.
FT931-2858,9,17,"Dealers seemed to like this, the BSE index rising by 5.6 per cent on Monday and Tuesday."
FT931-2858,10,23,"But another bomb blast in Calcutta triggered nervous selling yesterday, and the index came back by 50.62, or 2.1 per cent, to 2,409.23."
FT931-2858,28,32,"The Indian stock markets have been passing through a series of crises since December, when activists of the Bhartiya Janta party pulled down the Babri mosque at Ayodhya, sparking off communal riots."
FT931-2981,16,29,"More than 2,000 people died in riots, including over 700 in Bombay, after the razing of a mosque at Ayodhya in northern India by Hindu zealots on December 6."
FT931-2858,11,44,"All this has taken place against a volatile background: the Bombay equity market, over the past six weeks or so, has had to contend first with unusually bullish speculation, before the national budget on February 27, and subsequently with some savage expressions of disappointment."
FT931-2858,12,18,"Dr Manmohan Singh, the Indian finance minister, disappointed traders in the budget at the end of last month."
FT931-2858,16,28,He lowered the tax to 30 per cent from 65 per cent for expatriate Indians and foreign investors but for local investors it remained at 44.5 per cent.
FT931-2858,20,30,"The relative lack of financial concessions meant that disappointed traders sold with a vengeance and, until the weekend, the market seemed bottomless as equity prices plummeted to a 13-month low."
FT931-4176,8,27,"The Sebi has accused stockbrokers of flouting the exchange's rules, including regulations on margin trading designed to limit the risk of members defaulting through excessive speculative investments."
FT931-3764,12,34,The bombs appeared designed to stir a renewal of communal strife and to undermine efforts by the government of Mr PV Narasimha Rao to open up the economy and attract foreign investment and tourism.
AP881106-0062,10,33,"Television watchers of the 19th annual New York City Marathon followed the step-by-step progress Sunday of the leaders, but many spectators on the course scanned the thousands of runners for a familar face."
LA030290-0075,6,5,HUMAN BILLBOARDS RUN IN MARATHON
LA030290-0075,10,23,"With that kind of exposure to a potential 12 million Southern Californians, it's no wonder that in only five years the L. A."
LA030290-0075,11,15,"Marathon has become the best- marketed, slickest, most modern and sponsor-driven of the world's major marathons."
LA030290-0075,25,16,The race's marketing-oriented philosophy can be traced to Burke and marathon Vice President Marie Patrick .
LA121090-0095,7,17,"SAN DIEGO MARATHON: MARTINEZ, SMITH, RELATIVELY NEW TO LONG-DISTANCE RUNNING, CHRISTEN A NEW COURSE WITH VICTORIES ."
LA121090-0095,12,25,"The runs set records on the new North County course, but the times, even helped by warm breezes and clear, 74-degree conditions, were hardly blistering."
LA121090-0095,48,12,She met and beat the Olympic Trials qualifying standard of 2:45 .
WSJ910326-0090,4,1,03/26/91
WSJ910326-0090,10,14,Mr. Kelley is in training for the Boston Marathon -- his 60th Boston Marathon.
WSJ910326-0090,11,31,"And even at the age of 83, he probably will finish ahead of a large number of the 13,000 runners expected to compete -- officially or unofficially -- on April 15."
WSJ910326-0090,22,33,"A two-time winner in Boston (1935 and 1945) and runner-up seven times, Mr. Kelley is to be the oldest competitor in the race this year -- as he has been for 15 years."
SJMN91-06105230,12,11,The last three Boston marathons have turned into reckless speed duels.
SJMN91-06105230,13,20,They have produced five of the top 10 times and eight of the top 15 in the race's storied history.
SJMN91-06105230,25,10,The women's division also is filled with many respectable entrants.
SJMN91-06105230,7,35,"Can Ingrid Kristiansen and Joan Benoit Samuelson, the two fastest women's marathoners in history, return to their past glory after having their second babies or is a wave of runners ready to sweep past them?"
SJMN91-06171237,10,22,Most top-ranked U.S. women are looking for any summer-time marathon in which to run and the San Francisco version offers excellent conditions.
SJMN91-06312120,4,9,"TO MOST PEOPLE, marathons and vacations are mutually exclusive."
SJMN91-06312120,10,16,But a unique subset has formed: people who like to do both at the same time.
SJMN91-06312120,11,12,"And to help these folks along, companies arrange tours for marathon vacations."
AP880512-0157,9,27,"Soviet media once branded Andrei D. Sakharov a traitor, but a Moscow weekly has now provided a sympathetic portrait of the human rights activist and his wife."
AP880512-0157,29,21,Much of the Moscow News article seemed designed to undo harm caused to the Sakharovs by previous press campaigns against them.
AP880512-0096,8,33,"But the account in Moscow News only indirectly mentioned the nearly seven years Sakharov spent in forced internal exile for criticizing the Soviet drive into Afghanistan, indicating that topic is still too sensitive."
AP880512-0157,29,21,Much of the Moscow News article seemed designed to undo harm caused to the Sakharovs by previous press campaigns against them.
AP880512-0157,23,39,"However, Sakharov has insisted on speedier progress in improving the Soviet record on human rights, and during a Jan. 15 meeting in the Kremlin, he handed Gorbachev a list of 200 people he said were imprisoned for their views."
AP881110-0227,7,27,"Andrei D. Sakharov, the father of the Soviet dissident movement, finally received a 1973 human rights award Thursday night during his first trip to New York City."
AP881110-0227,9,33,"The 67-year-old Nobel Peace Prize winner is on his first trip to the West, less than two years after Soviet leader Mikhail Gorbachev freed him from internal exile in the city of Gorky."
AP890320-0158,9,33,"Andrei D. Sakharov urged members of the Academy of Sciences on Monday to reject the leadership's list of candidates for the new Soviet legislature, which does not include the Nobel Peace Prize winner."
AP890320-0158,15,33,"Sakharov was nominated from several geographic districts for a seat in the new 2,250-member Congress of People's Deputies, but he decided to refuse the nominations and fight for an Academy of Sciences seat."
LA051589-0055,21,27,"Sakharov was elected in April to the new Soviet Congress of People's Deputies, just two years after he was released from seven years of internal exile ."
LA121589-0192,9,19,The 68-year-old scientist and human rights activist died Thursday of an apparent heart attack in his Moscow apartment .
AP891216-0037,9,35,"In what amounted to a public apology, Mikhail S. Gorbachev and Soviet leaders today eulogized Andrei D. Sakharov as a ``man of honesty and sincerity'' who suffered great injustice at the hands of previous rulers."
AP891216-0037,30,37,"The obituary also praised Sakharov's vision as a scientist, which made him the youngest-ever member of the Academy of Sciences at age 32 and led to his inclusion in a group that developed the Soviet hydrogen bomb."
AP890729-0155,12,31,State-run media also indicated Friday that a crackdown had begun on people in Armenia who continue to agitate for annexation of a mostly Armenian enclave in the neighboring republic of Azerbaijan.
AP891213-0164,9,32,"The government has decided to give ethnic Germans and Crimean Tatars who were expelled from their homelands by Josef Stalin their own autonomous regions but it will take years, Tass reported Wednesday."
AP891213-0164,20,27,"It was also a potentially dangerous precedent: The Soviet Union is a patchwork of well over 100 ethnic groups, and many of them have outstanding territorial claims."
AP900613-0195,7,24,"Ethnic violence killed 148 people and wounded 885 this month in the Central Asian republic of Kirghizia, the official news agency Tass said Wednesday."
AP900613-0195,14,26,"He said in Moscow on Tuesday that ministry troops had to be used in 13 regions of the Soviet Union because of such outbreaks, Tass said."
AP901230-0022,7,31,"Moldavia, acting to defuse one of the Soviet Union's most explosive ethnic conflicts, agreed Sunday to comply with a Kremlin order to reconsider its law making Moldavian the republic's official language."
FBIS4-62505,19,5,Tajikistan was hit most hard.
FBIS4-62505,20,16,"The civil war in the Republic claimed the lives of more than 100,000 people, Shabdolov said."
LA070289-0167,9,35,Soviet President Mikhail S. Gorbachev warned the nation Saturday night that the country's growing ethnic strife is endangering its unity as a state as well as threatening his program of political and economic reforms .
LA070289-0167,9,35,Soviet President Mikhail S. Gorbachev warned the nation Saturday night that the country's growing ethnic strife is endangering its unity as a state as well as threatening his program of political and economic reforms .
LA070289-0167,15,69,"With serious ethnic clashes in Soviet Central Asia over the past month, with troops needed to maintain the peace in the southern republics of Armenia, Azerbaijan and Georgia and with nationalism growing stronger in the Baltic republics of Estonia, Latvia and Lithuania, Gorbachev is struggling to hold the Soviet Union together as a state while he pushes broad reforms that he believes will resolve most of the grievances ."
LA070289-0167,28,38,"Gorbachev acknowledged that ethnic relations are ""wound in a tight knot of contradictions"" because of previous Soviet policies, particularly the effort to pull the country's 100-plus ethnic groups into a new ""Soviet nationality"" with a unified culture ."
FT922-14265,6,11,SAM WALTON was arguably the most important retailer of his generation.
AP890323-0234,32,6,He was born in Kingfisher Okla.
AP890323-0234,34,26,"He graduated from the University of Missouri with an economics degree in 1940 and joined J.C. Penney Co. as a management trainee in Des Moines, Iowa."
AP890323-0234,35,24,"After serving three years in the Army, he went to Arkansas and opened a Ben Franklin five-and-dime store, eventually becoming the company's biggest franchisee."
AP890323-0234,36,25,"The seeds of the Wal-Mart empire were sown when Sam and his brother James L., or Bud, opened the first Wal-Mart Discount City in 1962."
AP890323-0234,14,17,Paying unexpected calls on stores is one way Walton has kept in close touch with everyday goings-on.
AP890615-0263,7,27,Wal-Mart founder Sam Walton pitched in to help check-out clerks at his store in this Florida Panhandle city when an electronic glitch shut down the cash registers.
AP890323-0234,15,22,His example is followed by other Wal- Mart executives and most make a point of spending a lot of time in the field.
FT922-14265,8,28,"By 1991 the chain's sales had risen to nearly Dollars 44bn, making it the world's largest retailer in terms of revenues, and the Walton family probably America's richest."
FT922-14265,10,16,The chain's success stemmed both from Mr Walton's personality and willingness to challenge accepted retailing orthodoxy.
FT922-14265,9,15,"Wal-Mart now operates in 43 US states, selling goods ranging from detergents to golf clubs."
AP890711-0223,33,29,"When Walton first made the Forbes list of richest Americans, recalled Little Rock investment banker Warren Simpson, calls came in from all over about the billionaire from the Ozarks."
AP890711-0223,27,11,Walton made that listing as the richest American every year since.
AP890323-0234,27,13,One of the most sensitive subjects for Walton is the fortune he's amassed.
FT944-12170,18,15,One strength the authors identify is Wal-Mart's ability to copy and adapt from other retailers.
FT944-12170,21,40,"Walton learned from them all, but was unique in taking his discount stores into small towns of a few thousand people, where shoppers used to travelling long distances were delighted to have a cut- price store nearby selling everything they needed."
FT923-5068,7,19,The problem is that the great Ameri>can public likes its boot-strap entrepreneurs to be very rich and very upright.
FT923-5068,8,17,"In a country where business practices are not overly genteel, this is a tough combination to achieve."
FT923-5068,10,23,"Sam Walton, founder of the Wal-Mart chain of discount supermarkets who died of cancer in April, negotiated these pitfalls much better than most."
AP890922-0117,12,20,"An explosion today flattened a military barracks and tore through nearby homes, killing 11 people and injuring 22, police said."
AP890922-0071,12,25,"The blast occurred at at 8:26 a.m. in a lounge in the barracks near Deal, about 70 miles southeast of London, the Defense Ministry said."
AP890922-0071,19,7,The Defense Ministry said seven were missing.
AP890922-0117,24,13,"Dozens of homes near the school were damaged, including four that were destroyed."
AP890922-0117,13,7,The IRA claimed responsibility for the blast.
AP890922-0117,30,33,"A statement telephoned to Ireland International, a Dublin news agency, said ``we have visited the Royal Marines in Kent'' in response to Prime Minister Margaret Thatcher's visit to Northern Ireland nine days ago."
AP890922-0117,20,32,"Defense Secretary Tom King, inspecting the wreckage, said: ``It is not yet absolutely confirmed that it is a bomb, but all the evidence is quite clearly that this is an IRA atrocity''."
AP890922-0071,16,17,Scotland Yard said a forensic team from its anti-terrorist squad had been called in to help investigate.
AP890923-0091,21,20,Police investigating the attack were searching a nearby house that had been rented briefly by three men with Irish accents.
AP890925-0124,17,25,"Raymond Kendall, the secretary- general of the international police organization Interpol, pledged the organization's full support in the hunt for those who blew up the school."
LA092389-0092,38,26,"The authorities have been on high alert, expecting IRA attacks in connection with last month's 20th anniversary of the introduction of British troops into Northern Ireland."
LA092389-0092,49,28,"Friday's attack was the worst on the mainland since the virtually simultaneous bombings of July, 1982, directed at ceremonial military units in London's Hyde Park and Regent's Park."
AP890925-0124,7,34,Prime Minister Margaret Thatcher said Monday the Irish Republican Army members who blew up the Royal Marines School of Music and killed 10 bandsmen last week are ``monsters'' who will be found and punished.
AP890923-0012,36,21,Prime Minister Charles Haughey of Ireland condemned the attack and sent Mrs. Thatcher a message of sympathy at ``this outrage ...
AP890923-0012,17,27,"Residents of the area adjoining the Marines school said Friday that despite government calls for stepped-up public alertness against terrorists, security at the school had eased noticeably."
AP890923-0012,21,22,"The Royal Marines Music School is one of 30 military establishments in Britain that use private security firms, Defense Ministry figures show."
AP890924-0025,23,22,King defended the use of private security firms hired to guard the Deal school and 29 other ``low-risk'' military installations in Britain.
AP890924-0025,25,7,King said the private firms will remain.
LA042590-0152,10,31,"The Discovery astronauts triumphantly launched the $1.5-billion Hubble Space Telescope one orbit late today after last-ditch commands from Earth freed a stuck solar panel, narrowly averting a daring emergency spacewalk ."
AP900424-0048,22,20,"Hubble has been waiting to take its place in space since 1983, delayed by technical problems and the Challenger accident."
AP900422-0032,34,26,"During Hubble's 15-year journey through space, astronomers expect to look back to nearly the beginning of time and solve some of the universe's most perplexing mysteries."
AP900424-0048,31,14,The European Space Agency contributed $250 million for 15 percent of the viewing time.
AP900424-0048,33,23,"During its 15-year working lifetime, the telescope will provide astronomers with 10 times better resolution and 25 times more sensitivity than ground-based observatories."
AP900424-0048,37,21,"The telescope is named for the late astronomer Edwin P. Hubble, who discovered during the 1920s that the universe is expanding."
AP900424-0048,38,18,His work gave rise to the Big Bang theory that the universe was created by a tremendous explosion.
AP900424-0096,29,19,"The telescope is 43 feet long and 14 feet in diameter, about the size of a railroad tank car."
AP900425-0198,36,16,"Discovery was 380 statute miles above Earth, 70 miles higher than any shuttle has ever flown."
AP900425-0198,37,16,The orbit was dictated by the need to put the telescope above the Earth's distorting atmosphere.
AP900426-0135,13,34,Ground controllers at the Goddard Space Flight Center finally made contact today with the two main antennas on the $1.5 billion Hubble Space Telescope after trying for more than six hours to lock on.
AP900426-0135,18,23,"The telescope's low-gain antennas, which receive and transmit information at a much slower rate and can be used in emergencies, were working well."
AP900428-0022,19,25,"Using the Hooker Telescope, Hubble was the first to determine the distance to a galaxy outside the Milky Way, the institute said in a statement."
